Currency,Curve,Close Date,Forward Start Date,Forward Start Date Index,Maturity,Implied
AUD,AUD_6M,2000-05-30,2000-06-21,1,5Y,0.067914421
AUD,AUD_6M,2000-05-30,2000-06-21,1,7Y,0.068456225
AUD,AUD_6M,2000-05-30,2000-06-21,1,10Y,0.068784242
AUD,AUD_6M,2000-05-30,2000-06-21,1,30Y,0.069413436
AUD,AUD_6M,2000-05-30,2000-12-20,2,3Y,0.068515917
AUD,AUD_6M,2000-05-30,2000-12-20,2,5Y,0.06854502400000001
AUD,AUD_6M,2000-05-30,2000-12-20,2,7Y,0.06893273
AUD,AUD_6M,2000-05-30,2000-12-20,2,10Y,0.069221982
AUD,AUD_6M,2000-05-30,2000-12-20,2,30Y,0.069634429
AUD,AUD_6M,2000-05-31,2000-06-01,0,3Y,0.067312277
AUD,AUD_6M,2000-05-31,2000-06-01,0,5Y,0.06802345900000001
AUD,AUD_6M,2000-05-31,2000-06-01,0,7Y,0.06832011
AUD,AUD_6M,2000-05-31,2000-06-01,0,10Y,0.068682415
AUD,AUD_6M,2000-05-31,2000-06-01,0,30Y,0.069280232
AUD,AUD_6M,2000-05-31,2000-06-21,1,3Y,0.067450526
AUD,AUD_6M,2000-05-31,2000-06-21,1,5Y,0.06810948
AUD,AUD_6M,2000-05-31,2000-06-21,1,7Y,0.068387426
AUD,AUD_6M,2000-05-31,2000-06-21,1,10Y,0.068739493
AUD,AUD_6M,2000-05-31,2000-06-21,1,30Y,0.0693108
AUD,AUD_6M,2000-05-31,2000-12-20,2,3Y,0.068367599
AUD,AUD_6M,2000-05-31,2000-12-20,2,5Y,0.068673288
AUD,AUD_6M,2000-05-31,2000-12-20,2,7Y,0.068837592
AUD,AUD_6M,2000-05-31,2000-12-20,2,10Y,0.06914404
AUD,AUD_6M,2000-05-31,2000-12-20,2,30Y,0.069517879
AUD,AUD_6M,2000-06-01,2000-06-02,0,3Y,0.06624315
AUD,AUD_6M,2000-06-01,2000-06-02,0,5Y,0.066783374
AUD,AUD_6M,2000-06-01,2000-06-02,0,7Y,0.067080044
AUD,AUD_6M,2000-06-01,2000-06-02,0,10Y,0.06738232799999999
AUD,AUD_6M,2000-06-01,2000-06-02,0,30Y,0.067820064
AUD,AUD_6M,2000-06-01,2000-06-21,1,3Y,0.066354467
AUD,AUD_6M,2000-06-01,2000-06-21,1,5Y,0.066850597
AUD,AUD_6M,2000-06-01,2000-06-21,1,7Y,0.067133478
AUD,AUD_6M,2000-06-01,2000-06-21,1,10Y,0.067426897
AUD,AUD_6M,2000-06-01,2000-06-21,1,30Y,0.06784394
AUD,AUD_6M,2000-06-01,2000-12-20,2,3Y,0.067151478
AUD,AUD_6M,2000-06-01,2000-12-20,2,5Y,0.06733874599999999
AUD,AUD_6M,2000-06-01,2000-12-20,2,7Y,0.067529185
AUD,AUD_6M,2000-06-01,2000-12-20,2,10Y,0.067763517
